,1,2,3,4
0,0.25,0.25,0.25,0.25
1,0.276965041,0.252910905,0.232240615,0.23788344
2,0.272510639,0.241196942,0.235194969,0.25109745
3,0.278016029,0.233330746,0.232876663,0.255776562
4,0.282367662,0.225633586,0.23103585,0.260962901
5,0.286798654,0.218512,0.229086683,0.265602662
6,0.291070369,0.211881358,0.227175148,0.269873125
7,0.295156313,0.205718367,0.225329694,0.273795626
8,0.299027017,0.199993655,0.223573978,0.27740535
9,0.302669966,0.19467966,0.221919324,0.28073105
10,0.306082115,0.189749668,0.220370054,0.283798163
11,0.309267015,0.185178024,0.218925901,0.286629059
12,0.312232394,0.180940232,0.217583806,0.289243567
13,0.314988479,0.177013035,0.216339103,0.291659383
14,0.31754683,0.17337447,0.215186291,0.293892409
15,0.319919556,0.170003886,0.214119533,0.295957025
16,0.322118797,0.166881939,0.213132967,0.297866298
17,0.324156403,0.163990555,0.212220885,0.299632158
18,0.326043735,0.16131289,0.211377841,0.301265534
19,0.327791562,0.158833271,0.210598704,0.302776464
20,0.329410006,0.156537133,0.209878672,0.304174188
21,0.330908537,0.154410956,0.209213281,0.305467226
22,0.332295978,0.152442197,0.208598388,0.306663437
23,0.333580531,0.150619226,0.208030159,0.307770084
24,0.334769809,0.148931265,0.207505048,0.308793878
25,0.335870869,0.147368326,0.207019781,0.309741024
26,0.336890253,0.14592116,0.206571329,0.310617259
27,0.337834017,0.144581195,0.206156897,0.311427891
28,0.338707772,0.143340496,0.205773902,0.31217783
29,0.33951671,0.142191711,0.205419959,0.312871619
30,0.34026564,0.141128036,0.205092864,0.31351346
31,0.340959014,0.140143166,0.20479058,0.31410724
32,0.341600951,0.139231265,0.204511226,0.314656558
33,0.342195268,0.138386928,0.204253062,0.315164741
34,0.342745497,0.137605151,0.204014483,0.315634869
35,0.343254907,0.136881299,0.203794003,0.316069791
36,0.343726526,0.136211081,0.20359025,0.316472142
37,0.344163158,0.135590525,0.203401956,0.316844361
38,0.344567397,0.135015951,0.203227949,0.317188703
39,0.344941646,0.134483952,0.203067146,0.317507257
40,0.345288129,0.133991374,0.202918544,0.317801953
41,0.345608906,0.133535297,0.20278122,0.318074577
42,0.345905884,0.133113017,0.202654317,0.318326783
43,0.346180828,0.132722028,0.202537045,0.318560099
44,0.346435372,0.132360013,0.202428675,0.31877594
45,0.346671031,0.132024825,0.20232853,0.318975615
46,0.346889204,0.131714475,0.202235987,0.319160333
47,0.34709119,0.131427124,0.202150469,0.319331216
48,0.347278189,0.131161068,0.202071443,0.3194893
49,0.347451312,0.130914728,0.201998417,0.319635543
50,0.34761159,0.130686643,0.201930936,0.319770831
51,0.347759976,0.130475461,0.201868578,0.319895986
52,0.347897351,0.130279929,0.201810955,0.320011766
53,0.348024532,0.130098887,0.201757707,0.320118873
54,0.348142277,0.129931262,0.201708504,0.320217958
55,0.348251284,0.129776059,0.201663037,0.32030962
56,0.348352203,0.129632358,0.201621023,0.320394416
57,0.348445633,0.129499307,0.2015822,0.32047286
58,0.348532131,0.129376115,0.201546326,0.320545428
59,0.34861221,0.129262053,0.201513176,0.32061256
60,0.348686346,0.129156445,0.201482545,0.320674664
61,0.348754982,0.129058662,0.201454241,0.320732115
62,0.348818524,0.128968127,0.201428087,0.320785262
63,0.348877351,0.1288843,0.20140392,0.320834428
64,0.348931813,0.128806686,0.201381589,0.320879911
65,0.348982234,0.128734824,0.201360955,0.320921987
66,0.349028913,0.128668288,0.201341889,0.32096091
67,0.349072128,0.128606682,0.201324272,0.320996918
68,0.349112136,0.128549642,0.201307993,0.321030229
69,0.349149175,0.12849683,0.201292952,0.321061044
70,0.349183466,0.128447931,0.201279054,0.32108955
71,0.349215212,0.128402656,0.201266212,0.321115921
72,0.349244602,0.128360736,0.201254346,0.321140316
73,0.349271811,0.128321923,0.201243382,0.321162884
74,0.349297001,0.128285986,0.201233251,0.321183761
75,0.349320322,0.128252712,0.201223891,0.321203074
76,0.349341913,0.128221905,0.201215242,0.32122094
77,0.349361901,0.12819338,0.201207251,0.321237468
78,0.349380405,0.12816697,0.201199867,0.321252758
79,0.349397537,0.128142516,0.201193045,0.321266902
80,0.349413397,0.128119875,0.201186742,0.321279986
81,0.34942808,0.128098912,0.201180917,0.32129209
82,0.349441674,0.128079502,0.201175536,0.321303288
83,0.349454259,0.128061531,0.201170564,0.321313646
84,0.34946591,0.128044891,0.20116597,0.321323228
85,0.349476696,0.128029485,0.201161726,0.321332093
86,0.349486682,0.128015221,0.201157804,0.321340293
